Cloudlet_ID	STATUS	DataCenter_ID	VM_ID	Time	Start_Time	Finish_Time
2742	SUCCESS	2	0	0.01	0.1	0.11
1192	SUCCESS	2	1	0.01	0.1	0.11
2224	SUCCESS	2	1	0.01	0.1	0.11
2235	SUCCESS	2	1	0.01	0.1	0.11
659	SUCCESS	2	4	0.11	0.1	0.21
2230	SUCCESS	2	5	0.11	0.1	0.21
1404	SUCCESS	2	7	0.11	0.1	0.21
2940	SUCCESS	2	119	0.21	0.1	0.31
671	SUCCESS	2	2	0.32	0.1	0.42
1405	SUCCESS	2	2	0.32	0.1	0.42
1406	SUCCESS	2	2	0.32	0.1	0.42
2299	SUCCESS	2	3	0.32	0.1	0.42
205	SUCCESS	2	4	0.32	0.1	0.42
1595	SUCCESS	2	5	0.32	0.1	0.42
261	SUCCESS	2	4	0.42	0.1	0.52
1872	SUCCESS	2	5	0.42	0.1	0.52
1894	SUCCESS	2	5	0.42	0.1	0.52
2853	SUCCESS	2	6	0.42	0.1	0.52
221	SUCCESS	2	3	0.53	0.1	0.63
2923	SUCCESS	2	3	0.53	0.1	0.63
1789	SUCCESS	2	5	0.53	0.1	0.63
2406	SUCCESS	2	6	0.53	0.1	0.63
2902	SUCCESS	2	7	0.53	0.1	0.63
669	SUCCESS	2	1	0.64	0.1	0.74
2064	SUCCESS	2	1	0.64	0.1	0.74
170	SUCCESS	2	2	0.64	0.1	0.74
1026	SUCCESS	2	3	0.64	0.1	0.74
1223	SUCCESS	2	3	0.74	0.1	0.84
305	SUCCESS	2	4	0.74	0.1	0.84
2781	SUCCESS	2	4	0.74	0.1	0.84
1147	SUCCESS	2	0	0.85	0.1	0.95
121	SUCCESS	2	3	0.85	0.1	0.95
2468	SUCCESS	2	4	0.85	0.1	0.95
2225	SUCCESS	2	5	0.85	0.1	0.95
909	SUCCESS	2	6	0.85	0.1	0.95
658	SUCCESS	2	0	0.96	0.1	1.06
670	SUCCESS	2	0	0.96	0.1	1.06
1141	SUCCESS	2	0	0.96	0.1	1.06
192	SUCCESS	2	2	0.96	0.1	1.06
1649	SUCCESS	2	2	0.96	0.1	1.06
336	SUCCESS	2	3	0.96	0.1	1.06
1398	SUCCESS	2	3	1.06	0.1	1.16
1090	SUCCESS	2	4	1.06	0.1	1.16
1359	SUCCESS	2	4	1.06	0.1	1.16
1253	SUCCESS	2	1	1.17	0.1	1.27
1260	SUCCESS	2	1	1.17	0.1	1.27
1207	SUCCESS	2	2	1.17	0.1	1.27
1255	SUCCESS	2	2	1.17	0.1	1.27
2312	SUCCESS	2	2	1.17	0.1	1.27
2321	SUCCESS	2	2	1.17	0.1	1.27
1400	SUCCESS	2	3	1.17	0.1	1.27
296	SUCCESS	2	3	1.27	0.1	1.37
2173	SUCCESS	2	3	1.27	0.1	1.37
264	SUCCESS	2	3	1.37	0.1	1.47
327	SUCCESS	2	3	1.37	0.1	1.47
348	SUCCESS	2	3	1.37	0.1	1.47
1604	SUCCESS	2	3	1.37	0.1	1.47
2277	SUCCESS	2	2	1.48	0.1	1.58
2921	SUCCESS	2	2	1.48	0.1	1.58
1962	SUCCESS	2	3	1.48	0.1	1.58
2417	SUCCESS	2	3	1.48	0.1	1.58
2708	SUCCESS	2	3	1.6	0.1	1.7
284	SUCCESS	2	1	1.7	0.1	1.8
307	SUCCESS	2	1	1.7	0.1	1.8
316	SUCCESS	2	1	1.7	0.1	1.8
1140	SUCCESS	2	1	1.7	0.1	1.8
1202	SUCCESS	2	1	1.7	0.1	1.8
2231	SUCCESS	2	1	1.7	0.1	1.8
618	SUCCESS	2	3	1.7	0.1	1.8
289	SUCCESS	2	0	1.81	0.1	1.91
1107	SUCCESS	2	0	1.81	0.1	1.91
2302	SUCCESS	2	0	1.81	0.1	1.91
60	SUCCESS	2	2	1.81	0.1	1.91
92	SUCCESS	2	2	1.81	0.1	1.91
1763	SUCCESS	2	3	1.81	0.1	1.91
1891	SUCCESS	2	4	1.92	0.1	2.02
1179	SUCCESS	2	9	1.92	0.1	2.02
226	SUCCESS	2	2	2.03	0.1	2.13
1369	SUCCESS	2	2	2.03	0.1	2.13
2446	SUCCESS	2	2	2.03	0.1	2.13
887	SUCCESS	2	3	2.03	0.1	2.13
1714	SUCCESS	2	1	2.25	0.1	2.35
2233	SUCCESS	2	1	2.25	0.1	2.35
1942	SUCCESS	2	2	2.25	0.1	2.35
2404	SUCCESS	2	2	2.25	0.1	2.35
2773	SUCCESS	2	4	2.36	0.1	2.46
2852	SUCCESS	2	5	2.36	0.1	2.46
1873	SUCCESS	2	3	2.47	0.1	2.57
190	SUCCESS	2	0	2.58	0.1	2.68
191	SUCCESS	2	0	2.58	0.1	2.68
319	SUCCESS	2	0	2.58	0.1	2.68
417	SUCCESS	2	0	2.58	0.1	2.68
