Cloudlet ID	STATUS	Data center ID	VM ID	Time	Start Time	Finish Time
109	SUCCESS	1	0	2.13	0.1	2.23
114	SUCCESS	1	0	2.13	0.1	2.23
95	SUCCESS	1	4	2.13	0.1	2.23
108	SUCCESS	1	4	2.13	0.1	2.23
110	SUCCESS	1	1	2.38	0.1	2.48
145	SUCCESS	1	1	2.38	0.1	2.48
117	SUCCESS	1	3	2.49	0.1	2.59
96	SUCCESS	1	0	5.97	0.1	6.07
36	SUCCESS	1	0	6.08	0.1	6.18
142	SUCCESS	1	3	11.77	0.1	11.87
39	SUCCESS	1	3	20.1	0.1	20.2
12	SUCCESS	1	3	20.21	0.1	20.31
107	SUCCESS	1	3	29.71	0.1	29.81
38	SUCCESS	1	2	40.82	0.1	40.92
74	SUCCESS	1	0	43.69	0.1	43.79
84	SUCCESS	1	0	43.69	0.1	43.79
79	SUCCESS	1	0	43.8	0.1	43.9
89	SUCCESS	1	0	43.8	0.1	43.9
88	SUCCESS	1	4	49.03	0.1	49.13
78	SUCCESS	1	4	49.14	0.1	49.24
83	SUCCESS	1	4	49.14	0.1	49.24
87	SUCCESS	1	3	49.38	0.1	49.48
77	SUCCESS	1	3	49.49	0.1	49.59
82	SUCCESS	1	3	49.49	0.1	49.59
92	SUCCESS	1	3	49.49	0.1	49.59
17	SUCCESS	1	3	57.57	0.1	57.67
72	SUCCESS	1	3	63.37	0.1	63.47
75	SUCCESS	1	1	63.93	0.1	64.03
85	SUCCESS	1	1	63.93	0.1	64.03
90	SUCCESS	1	1	63.93	0.1	64.03
80	SUCCESS	1	1	64.06	0.1	64.16
76	SUCCESS	1	2	68.41	0.1	68.51
86	SUCCESS	1	2	68.41	0.1	68.51
81	SUCCESS	1	2	68.52	0.1	68.62
91	SUCCESS	1	2	68.52	0.1	68.62
139	SUCCESS	1	0	74.92	0.1	75.02
112	SUCCESS	1	3	79.38	0.1	79.48
10	SUCCESS	1	1	81.84	0.1	81.94
144	SUCCESS	1	0	93.87	0.1	93.97
60	SUCCESS	1	1	98.6	0.1	98.7
59	SUCCESS	1	0	98.82	0.1	98.92
140	SUCCESS	1	1	111.34	0.1	111.44
111	SUCCESS	1	2	117	0.1	117.1
143	SUCCESS	1	4	117.22	0.1	117.32
20	SUCCESS	1	1	121.51	0.1	121.61
22	SUCCESS	1	3	191.9	0.1	192
123	SUCCESS	1	3	200.74	0.1	200.84
102	SUCCESS	1	3	200.85	0.1	200.95
132	SUCCESS	1	3	200.85	0.1	200.95
137	SUCCESS	1	3	201.5	0.1	201.6
37	SUCCESS	1	1	204.52	0.1	204.62
125	SUCCESS	1	0	223.32	0.1	223.42
134	SUCCESS	1	0	224.15	0.1	224.25
25	SUCCESS	1	4	228.72	0.1	228.82
13	SUCCESS	1	4	233.85	0.1	233.95
69	SUCCESS	1	0	238.42	0.1	238.52
62	SUCCESS	1	3	243.84	0.1	243.94
67	SUCCESS	1	3	265.14	0.1	265.24
124	SUCCESS	1	4	286.41	0.1	286.51
138	SUCCESS	1	4	287.39	0.1	287.49
133	SUCCESS	1	4	287.52	0.1	287.62
73	SUCCESS	1	4	287.63	0.1	287.73
103	SUCCESS	1	4	287.63	0.1	287.73
71	SUCCESS	1	2	288.27	0.1	288.37
113	SUCCESS	1	4	289.49	0.1	289.59
70	SUCCESS	1	1	293.47	0.1	293.57
115	SUCCESS	1	1	297.49	0.1	297.59
128	SUCCESS	1	1	299.3	0.1	299.4
120	SUCCESS	1	1	299.41	0.1	299.51
135	SUCCESS	1	1	299.98	0.1	300.08
68	SUCCESS	1	4	305.18	0.1	305.28
118	SUCCESS	1	4	355.23	0.1	355.33
119	SUCCESS	1	0	388.51	0.1	388.61
116	SUCCESS	1	2	388.75	0.1	388.85
136	SUCCESS	1	2	389.58	0.1	389.68
121	SUCCESS	1	2	390.19	0.1	390.29
106	SUCCESS	1	2	390.3	0.1	390.4
131	SUCCESS	1	2	390.3	0.1	390.4
64	SUCCESS	1	0	391.32	0.1	391.42
14	SUCCESS	1	0	402.25	0.1	402.35
141	SUCCESS	1	2	425.95	0.1	426.05
104	SUCCESS	1	0	445.92	0.1	446.02
65	SUCCESS	1	1	457.6	0.1	457.7
105	SUCCESS	1	1	527.17	0.1	527.27
97	SUCCESS	1	1	539.82	0.1	539.92
4	SUCCESS	1	0	549.45	0.1	549.55
15	SUCCESS	1	1	569.05	0.1	569.15
66	SUCCESS	1	2	628.39	0.1	628.49
19	SUCCESS	1	0	628.5	0.1	628.6
63	SUCCESS	1	4	647.47	0.1	647.57
58	SUCCESS	1	4	647.67	0.1	647.77
18	SUCCESS	1	4	722.54	0.1	722.64
61	SUCCESS	1	2	748.66	0.1	748.76
11	SUCCESS	1	2	749.26	0.1	749.36
98	SUCCESS	1	2	767.64	0.1	767.74
21	SUCCESS	1	2	1082.15	0.1	1082.25
16	SUCCESS	1	2	1082.4	0.1	1082.5
