Cloudlet_ID	STATUS	DataCenter_ID	VM_ID	Time	Start_Time	Finish_Time
1192	SUCCESS	2	18	0	0.1	0.1
2224	SUCCESS	2	68	0	0.1	0.1
2742	SUCCESS	2	273	0	0.1	0.1
2235	SUCCESS	2	76	0	0.1	0.1
289	SUCCESS	2	139	0	0.1	0.1
1107	SUCCESS	2	287	0	0.1	0.1
2317	SUCCESS	2	128	0	0.1	0.1
2321	SUCCESS	2	132	0	0.1	0.1
2328	SUCCESS	2	139	0	0.1	0.1
1253	SUCCESS	2	52	0	0.1	0.1
1648	SUCCESS	2	181	0	0.1	0.1
1383	SUCCESS	2	139	0	0.1	0.1
1376	SUCCESS	2	132	0	0.1	0.1
170	SUCCESS	2	67	0	0.1	0.1
190	SUCCESS	2	80	0	0.1	0.1
277	SUCCESS	2	132	0	0.1	0.1
221	SUCCESS	2	103	0	0.1	0.1
1223	SUCCESS	2	39	0	0.1	0.1
121	SUCCESS	2	39	0	0.1	0.1
2318	SUCCESS	2	129	0	0.1	0.1
2277	SUCCESS	2	103	0	0.1	0.1
191	SUCCESS	2	81	0	0.1	0.1
1649	SUCCESS	2	182	0	0.1	0.1
263	SUCCESS	2	126	0	0.1	0.1
192	SUCCESS	2	82	0	0.1	0.1
327	SUCCESS	2	164	0	0.1	0.1
2326	SUCCESS	2	137	0	0.1	0.1
2316	SUCCESS	2	127	0	0.1	0.1
348	SUCCESS	2	181	0	0.1	0.1
1962	SUCCESS	2	39	0	0.1	0.1
2921	SUCCESS	2	80	0	0.1	0.1
2922	SUCCESS	2	81	0	0.1	0.1
266	SUCCESS	2	128	0	0.1	0.1
501	SUCCESS	2	195	0	0.1	0.1
2923	SUCCESS	2	82	0	0.1	0.1
264	SUCCESS	2	127	0	0.1	0.1
1057	SUCCESS	2	273	0	0.1	0.1
2854	SUCCESS	2	39	0	0.1	0.1
1046	SUCCESS	2	269	0	0.1	0.1
1360	SUCCESS	2	116	0	0.1	0.1
338	SUCCESS	2	171	0.01	0.1	0.11
1371	SUCCESS	2	127	0.01	0.1	0.11
1053	SUCCESS	2	272	0.01	0.1	0.11
1059	SUCCESS	2	274	0.01	0.1	0.11
1102	SUCCESS	2	283	0.01	0.1	0.11
236	SUCCESS	2	112	0.01	0.1	0.11
755	SUCCESS	2	232	0.01	0.1	0.11
1988	SUCCESS	2	52	0.01	0.1	0.11
2736	SUCCESS	2	269	0.01	0.1	0.11
1604	SUCCESS	2	175	0.01	0.1	0.11
2407	SUCCESS	2	175	0.01	0.1	0.11
1400	SUCCESS	2	156	0.01	0.1	0.11
1081	SUCCESS	2	277	0.01	0.1	0.11
2391	SUCCESS	2	164	0.01	0.1	0.11
261	SUCCESS	2	125	0.01	0.1	0.11
1369	SUCCESS	2	125	0.01	0.1	0.11
1066	SUCCESS	2	276	0.01	0.1	0.11
2299	SUCCESS	2	117	0.01	0.1	0.11
314	SUCCESS	2	157	0.01	0.1	0.11
2302	SUCCESS	2	119	0.01	0.1	0.11
2888	SUCCESS	2	52	0.01	0.1	0.11
2379	SUCCESS	2	158	0.01	0.1	0.11
1594	SUCCESS	2	171	0.01	0.1	0.11
212	SUCCESS	2	95	0.01	0.1	0.11
2263	SUCCESS	2	95	0.01	0.1	0.11
2853	SUCCESS	2	38	0.01	0.1	0.11
1373	SUCCESS	2	129	0.01	0.1	0.11
349	SUCCESS	2	182	0.01	0.1	0.11
1026	SUCCESS	2	262	0.01	0.1	0.11
1409	SUCCESS	2	164	0.01	0.1	0.11
2230	SUCCESS	2	71	0.01	0.1	0.11
1359	SUCCESS	2	115	0.01	0.1	0.11
315	SUCCESS	2	158	0.01	0.1	0.11
1372	SUCCESS	2	128	0.01	0.1	0.11
1025	SUCCESS	2	261	0.01	0.1	0.11
1759	SUCCESS	2	232	0.01	0.1	0.11
1697	SUCCESS	2	197	0.01	0.1	0.11
2315	SUCCESS	2	126	0.01	0.1	0.11
2743	SUCCESS	2	274	0.01	0.1	0.11
1370	SUCCESS	2	126	0.01	0.1	0.11
2241	SUCCESS	2	82	0.01	0.1	0.11
1829	SUCCESS	2	274	0.01	0.1	0.11
2754	SUCCESS	2	283	0.01	0.1	0.11
2867	SUCCESS	2	45	0.01	0.1	0.11
2759	SUCCESS	2	287	0.01	0.1	0.11
1133	SUCCESS	2	294	0.01	0.1	0.11
357	SUCCESS	2	190	0.01	0.1	0.11
1366	SUCCESS	2	122	0.01	0.1	0.11
1781	SUCCESS	2	247	0.01	0.1	0.11
1202	SUCCESS	2	22	0.01	0.1	0.11
2741	SUCCESS	2	272	0.01	0.1	0.11
2239	SUCCESS	2	80	0.11	0.1	0.21
1364	SUCCESS	2	120	0.11	0.1	0.21
1404	SUCCESS	2	160	0.11	0.1	0.21
1140	SUCCESS	2	1	0.11	0.1	0.21
124	SUCCESS	2	41	0.11	0.1	0.21
319	SUCCESS	2	161	0.11	0.1	0.21
1405	SUCCESS	2	161	0.11	0.1	0.21
1099	SUCCESS	2	281	0.11	0.1	0.21
1841	SUCCESS	2	281	0.11	0.1	0.21
2752	SUCCESS	2	281	0.11	0.1	0.21
1141	SUCCESS	2	2	0.11	0.1	0.21
2858	SUCCESS	2	42	0.11	0.1	0.21
2311	SUCCESS	2	122	0.11	0.1	0.21
1406	SUCCESS	2	162	0.11	0.1	0.21
901	SUCCESS	2	242	0.11	0.1	0.21
127	SUCCESS	2	43	0.11	0.1	0.21
1228	SUCCESS	2	43	0.11	0.1	0.21
194	SUCCESS	2	83	0.11	0.1	0.21
1367	SUCCESS	2	123	0.11	0.1	0.21
2312	SUCCESS	2	123	0.11	0.1	0.21
2437	SUCCESS	2	203	0.11	0.1	0.21
2685	SUCCESS	2	243	0.11	0.1	0.21
1844	SUCCESS	2	283	0.11	0.1	0.21
1147	SUCCESS	2	4	0.11	0.1	0.21
2925	SUCCESS	2	84	0.11	0.1	0.21
908	SUCCESS	2	244	0.11	0.1	0.21
1773	SUCCESS	2	244	0.11	0.1	0.21
57	SUCCESS	2	5	0.11	0.1	0.21
133	SUCCESS	2	45	0.11	0.1	0.21
1235	SUCCESS	2	45	0.11	0.1	0.21
197	SUCCESS	2	85	0.11	0.1	0.21
2246	SUCCESS	2	85	0.11	0.1	0.21
2314	SUCCESS	2	125	0.11	0.1	0.21
1104	SUCCESS	2	285	0.11	0.1	0.21
2870	SUCCESS	2	46	0.11	0.1	0.21
910	SUCCESS	2	246	0.11	0.1	0.21
2758	SUCCESS	2	286	0.11	0.1	0.21
60	SUCCESS	2	7	0.11	0.1	0.21
1241	SUCCESS	2	47	0.11	0.1	0.21
1982	SUCCESS	2	47	0.11	0.1	0.21
2253	SUCCESS	2	87	0.11	0.1	0.21
1714	SUCCESS	2	207	0.11	0.1	0.21
1886	SUCCESS	2	8	0.11	0.1	0.21
2803	SUCCESS	2	8	0.11	0.1	0.21
137	SUCCESS	2	48	0.11	0.1	0.21
1983	SUCCESS	2	48	0.11	0.1	0.21
1589	SUCCESS	2	168	0.11	0.1	0.21
1782	SUCCESS	2	248	0.11	0.1	0.21
1108	SUCCESS	2	288	0.11	0.1	0.21
1850	SUCCESS	2	288	0.11	0.1	0.21
62	SUCCESS	2	9	0.11	0.1	0.21
1985	SUCCESS	2	49	0.11	0.1	0.21
272	SUCCESS	2	129	0.11	0.1	0.21
2443	SUCCESS	2	209	0.11	0.1	0.21
1852	SUCCESS	2	289	0.11	0.1	0.21
63	SUCCESS	2	10	0.11	0.1	0.21
1176	SUCCESS	2	10	0.11	0.1	0.21
1889	SUCCESS	2	10	0.11	0.1	0.21
2811	SUCCESS	2	10	0.11	0.1	0.21
1245	SUCCESS	2	50	0.11	0.1	0.21
1986	SUCCESS	2	50	0.11	0.1	0.21
205	SUCCESS	2	90	0.11	0.1	0.21
1321	SUCCESS	2	90	0.11	0.1	0.21
1374	SUCCESS	2	130	0.11	0.1	0.21
2319	SUCCESS	2	130	0.11	0.1	0.21
336	SUCCESS	2	170	0.11	0.1	0.21
2444	SUCCESS	2	210	0.11	0.1	0.21
1116	SUCCESS	2	290	0.11	0.1	0.21
1853	SUCCESS	2	290	0.11	0.1	0.21
1891	SUCCESS	2	11	0.11	0.1	0.21
2813	SUCCESS	2	11	0.11	0.1	0.21
1987	SUCCESS	2	51	0.11	0.1	0.21
1375	SUCCESS	2	131	0.11	0.1	0.21
2403	SUCCESS	2	171	0.11	0.1	0.21
1720	SUCCESS	2	211	0.11	0.1	0.21
2708	SUCCESS	2	251	0.11	0.1	0.21
1117	SUCCESS	2	291	0.11	0.1	0.21
1854	SUCCESS	2	291	0.11	0.1	0.21
1595	SUCCESS	2	172	0.11	0.1	0.21
2404	SUCCESS	2	172	0.11	0.1	0.21
2446	SUCCESS	2	212	0.11	0.1	0.21
1856	SUCCESS	2	292	0.11	0.1	0.21
2771	SUCCESS	2	292	0.11	0.1	0.21
74	SUCCESS	2	13	0.11	0.1	0.21
1900	SUCCESS	2	13	0.11	0.1	0.21
2261	SUCCESS	2	93	0.11	0.1	0.21
2934	SUCCESS	2	93	0.11	0.1	0.21
1377	SUCCESS	2	133	0.11	0.1	0.21
2322	SUCCESS	2	133	0.11	0.1	0.21
1726	SUCCESS	2	213	0.11	0.1	0.21
1857	SUCCESS	2	293	0.11	0.1	0.21
2772	SUCCESS	2	293	0.11	0.1	0.21
1255	SUCCESS	2	54	0.11	0.1	0.21
1991	SUCCESS	2	54	0.11	0.1	0.21
1328	SUCCESS	2	94	0.11	0.1	0.21
2935	SUCCESS	2	94	0.11	0.1	0.21
281	SUCCESS	2	134	0.11	0.1	0.21
2448	SUCCESS	2	214	0.11	0.1	0.21
1789	SUCCESS	2	254	0.11	0.1	0.21
2715	SUCCESS	2	254	0.11	0.1	0.21
2773	SUCCESS	2	294	0.11	0.1	0.21
1379	SUCCESS	2	135	0.11	0.1	0.21
2324	SUCCESS	2	135	0.11	0.1	0.21
342	SUCCESS	2	175	0.11	0.1	0.21
658	SUCCESS	2	215	0.11	0.1	0.21
1906	SUCCESS	2	16	0.11	0.1	0.21
1257	SUCCESS	2	56	0.11	0.1	0.21
2006	SUCCESS	2	56	0.11	0.1	0.21
284	SUCCESS	2	136	0.11	0.1	0.21
1380	SUCCESS	2	136	0.11	0.1	0.21
659	SUCCESS	2	216	0.11	0.1	0.21
2718	SUCCESS	2	256	0.11	0.1	0.21
1135	SUCCESS	2	296	0.11	0.1	0.21
1865	SUCCESS	2	296	0.11	0.1	0.21
2776	SUCCESS	2	296	0.11	0.1	0.21
150	SUCCESS	2	57	0.11	0.1	0.21
2898	SUCCESS	2	57	0.11	0.1	0.21
1332	SUCCESS	2	97	0.11	0.1	0.21
2265	SUCCESS	2	97	0.11	0.1	0.21
286	SUCCESS	2	137	0.11	0.1	0.21
1381	SUCCESS	2	137	0.11	0.1	0.21
669	SUCCESS	2	217	0.11	0.1	0.21
1260	SUCCESS	2	58	0.11	0.1	0.21
215	SUCCESS	2	98	0.11	0.1	0.21
1333	SUCCESS	2	98	0.11	0.1	0.21
2267	SUCCESS	2	98	0.11	0.1	0.21
287	SUCCESS	2	138	0.11	0.1	0.21
1382	SUCCESS	2	138	0.11	0.1	0.21
670	SUCCESS	2	218	0.11	0.1	0.21
1137	SUCCESS	2	298	0.11	0.1	0.21
1867	SUCCESS	2	298	0.11	0.1	0.21
2779	SUCCESS	2	298	0.11	0.1	0.21
1261	SUCCESS	2	59	0.11	0.1	0.21
346	SUCCESS	2	179	0.11	0.1	0.21
1643	SUCCESS	2	179	0.11	0.1	0.21
2412	SUCCESS	2	179	0.11	0.1	0.21
671	SUCCESS	2	219	0.11	0.1	0.21
2781	SUCCESS	2	299	0.11	0.1	0.21
2901	SUCCESS	2	60	0.11	0.1	0.21
2329	SUCCESS	2	140	0.11	0.1	0.21
347	SUCCESS	2	180	0.11	0.1	0.21
1644	SUCCESS	2	180	0.11	0.1	0.21
2725	SUCCESS	2	260	0.11	0.1	0.21
2064	SUCCESS	2	61	0.11	0.1	0.21
291	SUCCESS	2	141	0.11	0.1	0.21
2726	SUCCESS	2	261	0.11	0.1	0.21
91	SUCCESS	2	22	0.11	0.1	0.21
1932	SUCCESS	2	22	0.11	0.1	0.21
2415	SUCCESS	2	182	0.11	0.1	0.21
1803	SUCCESS	2	262	0.11	0.1	0.21
2727	SUCCESS	2	262	0.11	0.1	0.21
92	SUCCESS	2	23	0.11	0.1	0.21
2173	SUCCESS	2	63	0.11	0.1	0.21
2904	SUCCESS	2	63	0.11	0.1	0.21
350	SUCCESS	2	183	0.11	0.1	0.21
2417	SUCCESS	2	183	0.11	0.1	0.21
2460	SUCCESS	2	223	0.11	0.1	0.21
1027	SUCCESS	2	263	0.11	0.1	0.21
1806	SUCCESS	2	263	0.11	0.1	0.21
2728	SUCCESS	2	263	0.11	0.1	0.21
1204	SUCCESS	2	24	0.11	0.1	0.21
1744	SUCCESS	2	224	0.11	0.1	0.21
1028	SUCCESS	2	264	0.11	0.1	0.21
1807	SUCCESS	2	264	0.11	0.1	0.21
2729	SUCCESS	2	264	0.11	0.1	0.21
1205	SUCCESS	2	25	0.11	0.1	0.21
2833	SUCCESS	2	25	0.11	0.1	0.21
296	SUCCESS	2	145	0.11	0.1	0.21
1389	SUCCESS	2	145	0.11	0.1	0.21
2343	SUCCESS	2	145	0.11	0.1	0.21
1664	SUCCESS	2	185	0.11	0.1	0.21
2419	SUCCESS	2	185	0.11	0.1	0.21
96	SUCCESS	2	26	0.11	0.1	0.21
1206	SUCCESS	2	26	0.11	0.1	0.21
163	SUCCESS	2	66	0.11	0.1	0.21
2222	SUCCESS	2	66	0.11	0.1	0.21
2468	SUCCESS	2	226	0.11	0.1	0.21
1042	SUCCESS	2	266	0.11	0.1	0.21
1207	SUCCESS	2	27	0.11	0.1	0.21
1269	SUCCESS	2	67	0.11	0.1	0.21
2223	SUCCESS	2	67	0.11	0.1	0.21
2908	SUCCESS	2	67	0.11	0.1	0.21
226	SUCCESS	2	107	0.11	0.1	0.21
1673	SUCCESS	2	187	0.11	0.1	0.21
1044	SUCCESS	2	267	0.11	0.1	0.21
1208	SUCCESS	2	28	0.11	0.1	0.21
1942	SUCCESS	2	28	0.11	0.1	0.21
2837	SUCCESS	2	28	0.11	0.1	0.21
2909	SUCCESS	2	68	0.11	0.1	0.21
1352	SUCCESS	2	108	0.11	0.1	0.21
